Ulangan 1,Ulangan 2,Ulangan 3,Ulangan 4,Ulangan 5,Species
422,422,422,434,438,HA9S
893,893,442,456,455,HA9S
1027,1024,453,959,895,HA9S
1101,1101,892,1021,1025,HA9S
1150,1149,961,1054,1100,HA9S
1240,1241,1026,1101,1147,HA9S
1327,1323,1054,1148,1241,HA9S
1371,1371,1101,1205,1323,HA9S
1420,1420,1150,1240,1371,HA9S
1455,1505,1240,1330,1417,HA9S
1505,1631,1323,1370,1539,HA9S
1539,1733,1371,1420,1631,HA9S
1631,2348,1420,1491,1739,HA9S
1735,2851,1636,1627,2348,HA9S
2339,2918,1733,1728,3314,HA9S
2935,3333,2348,2348,36=52,HA9S
3335,3745,3333,3297,3744,HA9S
892,420,452,429,425,HA1S
963,893,960,894,958,HA1S
1028,964,1027,963,1025,HA1S
1100,1027,1054,1025,1099,HA1S
1150,1099,1100,1099,1146,HA1S
1241,1147,1148,1148,1240,HA1S
1326,1241,1240,1240,1326,HA1S
1369,1326,1326,1325,1373,HA1S
1410,1373,1373,1372,1414,HA1S
1501,1417,1417,1414,1491,HA1S
1629,1520,1634,1638,1616,HA1S
1728,1627,1736,1735,1735,HA1S
2346,1735,2347,2165,2347,HA1S
2854,2347,2851,2347,2851,HA1S
2923,2851,2919,2922,2919,HA1S
3293,2919,3312,3288,3301,HA1S
423,439,440,445,426,HA5S
894,961,959,893,958,HA5S
1027,1022,1025,1024,1024,HA5S
1100,1100,1100,1100,1100,HA5S
1149,1147,1148,1148,1147,HA5S
1240,1240,1241,1240,1241,HA5S
1327,1326,1326,1327,1327,HA5S
1373,1373,1372,1369,1372,HA5S
1417,1411,1414,1420,1414,HA5S
1633,1632,1637,1627,1631,HA5S
1728,1733,1732,1736,1736,HA5S
2345,2346,2346,2346,2347,HA5S
2921,2851,3314,2853,2852,HA5S
3292,2919,3728,2920,2919,HA5S
