Ulangan 1,Ulangan 2,Ulangan 3,Ulangan 4,Ulangan 5,Species
430,460,437,430,892,HA10T
890,893,894,896,960,HA10T
1026,1028,1029,1031,1024,HA10T
1099,1100,1101,1104,1099,HA10T
1147,1148,1152,1157,1147,HA10T
1240,1241,1242,1243,1240,HA10T
1326,1325,1325,1323,1324,HA10T
1373,1373,1372,1373,1371,HA10T
1410,1414,1422,1423,1417,HA10T
1520,1498,1491,1459,1491,HA10T
1628,1637,1641,1514,1629,HA10T
1735,1724,1732,1636,1735,HA10T
2343,2348,2348,1730,2345,HA10T
2391,2855,2923,2345,2851,HA10T
2856,2923,3327,2391,2919,HA10T
2924,3290,3746,2922,3309,HA10T
425,427,423,896,432,HA39T
893,894,892,1031,896,HA39T
960,1024,962,1103,1031,HA39T
1022,1099,1025,1155,1103,HA39T
1052,1147,1099,1243,1155,HA39T
1099,1241,1147,1322,1243,HA39T
1147,1324,1239,1323,1323,HA39T
1240,1371,1323,1371,1371,HA39T
1324,1417,1371,1420,1420,HA39T
1371,1482,1417,1456,1459,HA39T
1417,1543,1482,1506,1506,HA39T
1509,1631,1541,1543,1539,HA39T
1629,1735,1631,1636,1560,HA39T
1735,2165,1735,1733,1646,HA39T
2348,2343,2348,2167,1733,HA39T
2853,2923,2853,2348,2167,HA39T
2920,3297,2920,2922,2348,HA39T
3297,3674,3334,3334,2922,HA39T
3744,3750,3744,3753,3334,HA39T
419,419,424,663,440,HA5T
474,892,892,894,662,HA5T
895,961,962,1027,894,HA5T
1024,1026,1026,1100,962,HA5T
1099,1100,1053,1149,1022,HA5T
1148,1147,1099,1240,1098,HA5T
1240,1240,1147,1323,1145,HA5T
1322,1323,1240,1370,1238,HA5T
1370,1370,1323,1417,1323,HA5T
1420,1420,1370,1448,1370,HA5T
1646,1482,1420,1517,1417,HA5T
1735,1641,1490,1539,1490,HA5T
2923,1739,1539,1560,1539,HA5T
3333,2165,1621,1646,1560,HA5T
3740,2364,1735,1733,1646,HA5T
422,896,895,423,892,HA30T
484,1029,1027,894,961,HA30T
892,1102,1099,1027,1027,HA30T
1028,1154,1149,1052,1099,HA30T
1100,1242,1240,1100,1147,HA30T
1149,1323,1323,1151,1241,HA30T
1242,1371,1370,1240,1323,HA30T
1323,1420,1417,1323,1370,HA30T
1371,1459,1456,1370,1420,HA30T
1417,1508,1482,1420,1491,HA30T
1490,1543,1560,1491,1542,HA30T
1560,1567,1646,1560,1652,HA30T
1646,1653,1739,1636,1739,HA30T
1735,1735,2352,1739,2348,HA30T
2376,2166,2854,2382,2854,HA30T
2856,2374,2922,2922,2921,HA30T
2923,2920,3309,3334,3297,HA30T
3303,3335,3743,3674,3743,HA30T
